colour	x	y	group	showSelectedlegendcolour	PANEL
#7F7F7F	1	0	1	train	1
#7F7F7F	2	34	1	train	1
#7F7F7F	3	24	1	train	1
#7F7F7F	4	26	1	train	1
#7F7F7F	5	24	1	train	1
#7F7F7F	6	26	1	train	1
#7F7F7F	7	24	1	train	1
#7F7F7F	8	24	1	train	1
#7F7F7F	9	24	1	train	1
#7F7F7F	10	24	1	train	1
#7F7F7F	11	24	1	train	1
#7F7F7F	12	24	1	train	1
#7F7F7F	13	24	1	train	1
#7F7F7F	14	24	1	train	1
#7F7F7F	15	24	1	train	1
#7F7F7F	16	24	1	train	1
#7F7F7F	17	24	1	train	1
#7F7F7F	18	24	1	train	1
#7F7F7F	19	24	1	train	1
#7F7F7F	20	24	1	train	1
#7F7F7F	21	24	1	train	1
#7F7F7F	22	24	1	train	1
#7F7F7F	23	24	1	train	1
#7F7F7F	24	24	1	train	1
#7F7F7F	25	24	1	train	1
#7F7F7F	26	24	1	train	1
#7F7F7F	27	24	1	train	1
#7F7F7F	28	24	1	train	1
#7F7F7F	29	24	1	train	1
#7F7F7F	30	24	1	train	1
#7F7F7F	31	24	1	train	1
#7F7F7F	32	24	1	train	1
#7F7F7F	33	24	1	train	1
#7F7F7F	34	24	1	train	1
#7F7F7F	35	24	1	train	1
#7F7F7F	36	24	1	train	1
#7F7F7F	37	24	1	train	1
#7F7F7F	38	24	1	train	1
#7F7F7F	39	24	1	train	1
#7F7F7F	40	24	1	train	1
#7F7F7F	41	24	1	train	1
#7F7F7F	42	24	1	train	1
#7F7F7F	43	24	1	train	1
#7F7F7F	44	24	1	train	1
#7F7F7F	45	24	1	train	1
#7F7F7F	46	24	1	train	1
#7F7F7F	47	24	1	train	1
#7F7F7F	48	24	1	train	1
#7F7F7F	49	24	1	train	1
#7F7F7F	50	24	1	train	1
#000000	1	26	2	validation	1
#000000	2	28	2	validation	1
#000000	3	34	2	validation	1
#000000	4	30	2	validation	1
#000000	5	24	2	validation	1
#000000	6	28	2	validation	1
#000000	7	20	2	validation	1
#000000	8	20	2	validation	1
#000000	9	20	2	validation	1
#000000	10	20	2	validation	1
#000000	11	20	2	validation	1
#000000	12	20	2	validation	1
#000000	13	20	2	validation	1
#000000	14	20	2	validation	1
#000000	15	20	2	validation	1
#000000	16	20	2	validation	1
#000000	17	20	2	validation	1
#000000	18	20	2	validation	1
#000000	19	20	2	validation	1
#000000	20	20	2	validation	1
#000000	21	20	2	validation	1
#000000	22	20	2	validation	1
#000000	23	20	2	validation	1
#000000	24	20	2	validation	1
#000000	25	20	2	validation	1
#000000	26	20	2	validation	1
#000000	27	20	2	validation	1
#000000	28	20	2	validation	1
#000000	29	20	2	validation	1
#000000	30	20	2	validation	1
#000000	31	20	2	validation	1
#000000	32	20	2	validation	1
#000000	33	20	2	validation	1
#000000	34	20	2	validation	1
#000000	35	20	2	validation	1
#000000	36	20	2	validation	1
#000000	37	20	2	validation	1
#000000	38	20	2	validation	1
#000000	39	20	2	validation	1
#000000	40	20	2	validation	1
#000000	41	20	2	validation	1
#000000	42	20	2	validation	1
#000000	43	20	2	validation	1
#000000	44	20	2	validation	1
#000000	45	20	2	validation	1
#000000	46	20	2	validation	1
#000000	47	20	2	validation	1
#000000	48	20	2	validation	1
#000000	49	20	2	validation	1
#000000	50	20	2	validation	1
#7F7F7F	1	0	1	train	2
#7F7F7F	2	22	1	train	2
#7F7F7F	3	18	1	train	2
#7F7F7F	4	26	1	train	2
#7F7F7F	5	30	1	train	2
#7F7F7F	6	22	1	train	2
#7F7F7F	7	24	1	train	2
#7F7F7F	8	22	1	train	2
#7F7F7F	9	30	1	train	2
#7F7F7F	10	26	1	train	2
#7F7F7F	11	28	1	train	2
#7F7F7F	12	34	1	train	2
#7F7F7F	13	28	1	train	2
#7F7F7F	14	26	1	train	2
#7F7F7F	15	26	1	train	2
#7F7F7F	16	28	1	train	2
#7F7F7F	17	26	1	train	2
#7F7F7F	18	28	1	train	2
#7F7F7F	19	26	1	train	2
#7F7F7F	20	26	1	train	2
#7F7F7F	21	30	1	train	2
#7F7F7F	22	30	1	train	2
#7F7F7F	23	30	1	train	2
#7F7F7F	24	34	1	train	2
#7F7F7F	25	34	1	train	2
#7F7F7F	26	34	1	train	2
#7F7F7F	27	34	1	train	2
#7F7F7F	28	34	1	train	2
#7F7F7F	29	34	1	train	2
#7F7F7F	30	34	1	train	2
#7F7F7F	31	34	1	train	2
#7F7F7F	32	34	1	train	2
#7F7F7F	33	34	1	train	2
#7F7F7F	34	34	1	train	2
#7F7F7F	35	34	1	train	2
#7F7F7F	36	34	1	train	2
#7F7F7F	37	34	1	train	2
#7F7F7F	38	34	1	train	2
#7F7F7F	39	34	1	train	2
#7F7F7F	40	34	1	train	2
#7F7F7F	41	34	1	train	2
#7F7F7F	42	34	1	train	2
#7F7F7F	43	34	1	train	2
#7F7F7F	44	34	1	train	2
#7F7F7F	45	34	1	train	2
#7F7F7F	46	34	1	train	2
#7F7F7F	47	34	1	train	2
#7F7F7F	48	34	1	train	2
#7F7F7F	49	34	1	train	2
#7F7F7F	50	34	1	train	2
#000000	1	38	2	validation	2
#000000	2	30	2	validation	2
#000000	3	30	2	validation	2
#000000	4	26	2	validation	2
#000000	5	24	2	validation	2
#000000	6	24	2	validation	2
#000000	7	24	2	validation	2
#000000	8	20	2	validation	2
#000000	9	24	2	validation	2
#000000	10	28	2	validation	2
#000000	11	26	2	validation	2
#000000	12	30	2	validation	2
#000000	13	26	2	validation	2
#000000	14	30	2	validation	2
#000000	15	32	2	validation	2
#000000	16	32	2	validation	2
#000000	17	32	2	validation	2
#000000	18	32	2	validation	2
#000000	19	32	2	validation	2
#000000	20	32	2	validation	2
#000000	21	30	2	validation	2
#000000	22	32	2	validation	2
#000000	23	30	2	validation	2
#000000	24	36	2	validation	2
#000000	25	42	2	validation	2
#000000	26	42	2	validation	2
#000000	27	42	2	validation	2
#000000	28	42	2	validation	2
#000000	29	42	2	validation	2
#000000	30	42	2	validation	2
#000000	31	42	2	validation	2
#000000	32	42	2	validation	2
#000000	33	42	2	validation	2
#000000	34	42	2	validation	2
#000000	35	42	2	validation	2
#000000	36	42	2	validation	2
#000000	37	42	2	validation	2
#000000	38	42	2	validation	2
#000000	39	42	2	validation	2
#000000	40	42	2	validation	2
#000000	41	42	2	validation	2
#000000	42	42	2	validation	2
#000000	43	42	2	validation	2
#000000	44	42	2	validation	2
#000000	45	42	2	validation	2
#000000	46	42	2	validation	2
#000000	47	42	2	validation	2
#000000	48	42	2	validation	2
#000000	49	42	2	validation	2
#000000	50	42	2	validation	2
#7F7F7F	1	0	1	train	3
#7F7F7F	2	16	1	train	3
#7F7F7F	3	14	1	train	3
#7F7F7F	4	14	1	train	3
#7F7F7F	5	14	1	train	3
#7F7F7F	6	12	1	train	3
#7F7F7F	7	16	1	train	3
#7F7F7F	8	20	1	train	3
#7F7F7F	9	16	1	train	3
#7F7F7F	10	18	1	train	3
#7F7F7F	11	20	1	train	3
#7F7F7F	12	22	1	train	3
#7F7F7F	13	22	1	train	3
#7F7F7F	14	20	1	train	3
#7F7F7F	15	24	1	train	3
#7F7F7F	16	26	1	train	3
#7F7F7F	17	28	1	train	3
#7F7F7F	18	26	1	train	3
#7F7F7F	19	26	1	train	3
#7F7F7F	20	26	1	train	3
#7F7F7F	21	26	1	train	3
#7F7F7F	22	28	1	train	3
#7F7F7F	23	28	1	train	3
#7F7F7F	24	28	1	train	3
#7F7F7F	25	26	1	train	3
#7F7F7F	26	28	1	train	3
#7F7F7F	27	26	1	train	3
#7F7F7F	28	26	1	train	3
#7F7F7F	29	26	1	train	3
#7F7F7F	30	26	1	train	3
#7F7F7F	31	26	1	train	3
#7F7F7F	32	34	1	train	3
#7F7F7F	33	46	1	train	3
#7F7F7F	34	46	1	train	3
#7F7F7F	35	46	1	train	3
#7F7F7F	36	46	1	train	3
#7F7F7F	37	46	1	train	3
#7F7F7F	38	46	1	train	3
#7F7F7F	39	46	1	train	3
#7F7F7F	40	46	1	train	3
#7F7F7F	41	46	1	train	3
#7F7F7F	42	46	1	train	3
#7F7F7F	43	46	1	train	3
#7F7F7F	44	46	1	train	3
#7F7F7F	45	46	1	train	3
#7F7F7F	46	46	1	train	3
#7F7F7F	47	46	1	train	3
#7F7F7F	48	46	1	train	3
#7F7F7F	49	46	1	train	3
#7F7F7F	50	46	1	train	3
#000000	1	32	2	validation	3
#000000	2	30	2	validation	3
#000000	3	30	2	validation	3
#000000	4	32	2	validation	3
#000000	5	32	2	validation	3
#000000	6	32	2	validation	3
#000000	7	32	2	validation	3
#000000	8	34	2	validation	3
#000000	9	32	2	validation	3
#000000	10	34	2	validation	3
#000000	11	34	2	validation	3
#000000	12	36	2	validation	3
#000000	13	36	2	validation	3
#000000	14	40	2	validation	3
#000000	15	38	2	validation	3
#000000	16	42	2	validation	3
#000000	17	42	2	validation	3
#000000	18	42	2	validation	3
#000000	19	40	2	validation	3
#000000	20	38	2	validation	3
#000000	21	40	2	validation	3
#000000	22	42	2	validation	3
#000000	23	42	2	validation	3
#000000	24	42	2	validation	3
#000000	25	40	2	validation	3
#000000	26	42	2	validation	3
#000000	27	40	2	validation	3
#000000	28	40	2	validation	3
#000000	29	40	2	validation	3
#000000	30	40	2	validation	3
#000000	31	40	2	validation	3
#000000	32	40	2	validation	3
#000000	33	52	2	validation	3
#000000	34	52	2	validation	3
#000000	35	52	2	validation	3
#000000	36	52	2	validation	3
#000000	37	52	2	validation	3
#000000	38	52	2	validation	3
#000000	39	52	2	validation	3
#000000	40	52	2	validation	3
#000000	41	52	2	validation	3
#000000	42	52	2	validation	3
#000000	43	52	2	validation	3
#000000	44	52	2	validation	3
#000000	45	52	2	validation	3
#000000	46	52	2	validation	3
#000000	47	52	2	validation	3
#000000	48	52	2	validation	3
#000000	49	52	2	validation	3
#000000	50	52	2	validation	3
#7F7F7F	1	0	1	train	4
#7F7F7F	2	8	1	train	4
#7F7F7F	3	10	1	train	4
#7F7F7F	4	8	1	train	4
#7F7F7F	5	16	1	train	4
